Date,Close,prev_close,daily_return_pct
2014-02-28,775.0,800.0,-3.13
2014-03-03,769.59,775.0,-0.7
2014-03-04,771.5,769.59,0.25
2014-03-05,775.0,771.5,0.45
2014-03-06,784.81,775.0,1.27
2014-03-07,827.15,784.81,5.39
2014-03-10,804.93,827.15,-2.69
2014-03-11,802.0,804.93,-0.36
2014-03-12,857.54,802.0,6.93
2014-03-13,857.35,857.54,-0.02
2014-03-14,868.25,857.35,1.27
2014-03-17,1045.02,868.25,20.36
2014-03-18,1023.81,1045.02,-2.03
2014-03-19,1060.0,1023.81,3.53
2014-03-20,1056.0,1060.0,-0.38
2014-03-21,1085.26,1056.0,2.77
2014-03-24,1078.8,1085.26,-0.6
2014-03-25,1085.11,1078.8,0.58
2014-03-26,1074.67,1085.11,-0.96
2014-03-27,1070.88,1074.67,-0.35
2014-03-28,1049.99,1070.88,-1.95
2014-03-31,1074.65,1049.99,2.35
2014-04-01,1111.0,1074.65,3.38
2014-04-02,1112.37,1111.0,0.12
2014-04-03,1110.0,1112.37,-0.21
2014-04-04,1085.0,1110.0,-2.25
2014-04-07,1068.17,1085.0,-1.55
2014-04-08,1048.99,1068.17,-1.8
2014-04-09,1050.0,1048.99,0.1
2014-04-10,1026.3,1050.0,-2.26
2014-04-11,969.98,1026.3,-5.49
2014-04-14,953.0,969.98,-1.75
2014-04-15,946.0,953.0,-0.73
2014-04-16,940.0,946.0,-0.63
2014-04-17,975.0,940.0,3.72
2014-04-21,974.48,975.0,-0.05
2014-04-22,985.0,974.48,1.08
2014-04-23,991.01,985.0,0.61
2014-04-24,991.1,991.01,0.01
2014-04-25,977.44,991.1,-1.38
2014-04-28,907.5,977.44,-7.16
2014-04-29,949.0,907.5,4.57
2014-04-30,978.25,949.0,3.08
2014-05-01,988.02,978.25,1.0
2014-05-02,976.0,988.02,-1.22
2014-05-05,970.59,976.0,-0.55
2014-05-06,885.75,970.59,-8.74
2014-05-07,846.25,885.75,-4.46
2014-05-08,799.95,846.25,-5.47
2014-05-09,742.0,799.95,-7.24
2014-05-12,827.05,742.0,11.46
2014-05-13,822.05,827.05,-0.6
2014-05-14,819.25,822.05,-0.34
2014-05-15,805.0,819.25,-1.74
2014-05-16,841.0,805.0,4.47
2014-05-19,860.8,841.0,2.35
2014-05-20,884.97,860.8,2.81
2014-05-21,896.05,884.97,1.25
2014-05-22,907.11,896.05,1.23
2014-05-23,942.0,907.11,3.85
2014-05-27,974.72,942.0,3.47
2014-05-28,951.0,974.72,-2.43
2014-05-29,961.05,951.0,1.06
